Fascia,Cognome e Nome,Cognome e Nome normalized,Uppercase Surname,Cognome,Nome,Genere,Ateneo,Facoltà,GSD 2024,SSD 2024,SSD 2015,SC 2015,Struttura di afferenza,Servizio prestato in altro ateneo,molteplicità,OpenAlex ID,OpenAlex Name,ORCID,H-Index,I10-Index,Works Count,Cited By Count,Institution (OpenAlex)
Associato confermato,MARCUGINI Stefano,MARCUGINI Stefano,MARCUGINI,Marcugini,Stefano,M,PERUGIA,,01/INFO-01,INFO-01/A,INF/01,01/B1,MATEMATICA E INFORMATICA,,,https://openalex.org/A5028598034,Stefano Marcugini,0000-0002-7961-0260,17.0,41.0,224.0,1114.0,University of Perugia
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),MARELLI Davide,MARELLI Davide,MARELLI,Marelli,Davide,M,MILANO-BICOCCA,,01/INFO-01,INFO-01/A,INF/01,01/B1,"INFORMATICA, SISTEMISTICA E COMUNICAZIONE",,,https://openalex.org/A5091562647,Davide Marelli,0000-0003-2389-0301,7.0,5.0,15.0,270.0,University of Milano-Bicocca
Ricercatore,MARENGO Agostino,MARENGO Agostino,MARENGO,Marengo,Agostino,M,FOGGIA,,01/INFO-01,INFO-01/A,INF/01,01/B1,"SCIENZE AGRARIE, ALIMENTI, RISORSE NATURALI E INGEGNERIA",,,https://openalex.org/A5006995271,Agostino Marengo,0000-0003-2769-5642,12.0,15.0,68.0,668.0,University of Foggia
Ricercatore a t.d. - t.pieno (L. 79/2022),MARENGO Elisa,MARENGO Elisa,MARENGO,Marengo,Elisa,F,TORINO,,01/INFO-01,INFO-01/A,INF/01,01/B1,INFORMATICA,,,https://openalex.org/A5011559626,Elisa Marengo,0000-0003-1879-2088,11.0,13.0,60.0,466.0,University of Turin
Ordinario,MARFIA Gustavo,MARFIA Gustavo,MARFIA,Marfia,Gustavo,M,BOLOGNA,,01/INFO-01,INFO-01/A,INF/01,01/B1,delle Arti,,,https://openalex.org/A5012845043,Gustavo Marfia,0000-0003-3058-8004,25.0,53.0,186.0,2294.0,University of Bologna
Ordinario,MARGARA Luciano,MARGARA Luciano,MARGARA,Margara,Luciano,M,BOLOGNA,,01/INFO-01,INFO-01/A,INF/01,01/B1,Informatica - Scienza e Ingegneria,,,https://openalex.org/A5061123241,Luciano Margara,0000-0001-7816-1937,25.0,43.0,107.0,1606.0,University of Bologna
Associato,MARI Federico,MARI Federico,MARI,Mari,Federico,M,"ROMA ""Foro Italico""",,01/INFO-01,INFO-01/A,INF/01,01/B1,"SCIENZE MOTORIE, UMANE E DELLA SALUTE",,,https://openalex.org/A5052419841,Federico Mari,0000-0003-4289-9301,16.0,25.0,66.0,626.0,Foro Italico University of Rome
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),MARINI Marco Raoul,MARINI Marco Raoul,MARINI,Marini,Marco Raoul,M,"ROMA ""La Sapienza""",,01/INFO-01,INFO-01/A,INF/01,01/B1,INFORMATICA,,,https://openalex.org/A5069310487,Marco Raoul Marini,0000-0002-2540-2570,9.0,9.0,45.0,402.0,Sapienza University of Rome
Associato,MARINO Andrea,MARINO Andrea,MARINO,Marino,Andrea,M,FIRENZE,,01/INFO-01,INFO-01/A,INF/01,01/B1,"Statistica, Informatica e Applicazioni 'G.Parenti' (DISIA)",,,https://openalex.org/A5035852380,Andrea Marino,0000-0002-9854-7885,24.0,60.0,175.0,1894.0,University of Florence
Ricercatore a t.d. - t.pieno (L. 79/2022),MARRAS Mirko,MARRAS Mirko,MARRAS,Marras,Mirko,M,CAGLIARI,,01/INFO-01,INFO-01/A,INF/01,01/B1,MATEMATICA E INFORMATICA,,,https://openalex.org/A5019764103,Mirko Marras,0000-0003-1989-6057,18.0,36.0,142.0,1155.0,University of Cagliari
Associato,MARRONE Stefano,MARRONE Stefano,MARRONE,Marrone,Stefano,M,"CAMPANIA - ""L. VANVITELLI""",,01/INFO-01,INFO-01/A,INF/01,01/B1,MATEMATICA E FISICA (DMF),,,https://openalex.org/A5056137267,S. Marrone,0000-0003-1927-6173,38.0,109.0,310.0,4877.0,"University of Campania ""Luigi Vanvitelli"""
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),MARTE Cinzia,MARTE Cinzia,MARTE,Marte,Cinzia,F,della CALABRIA,,01/INFO-01,INFO-01/A,,,MATEMATICA E INFORMATICA - DEMACS,,,https://openalex.org/A5067207542,Cinzia Marte,0000-0003-3920-8186,2.0,0.0,13.0,20.0,University of Calabria
Associato,MARTINEL Niki,MARTINEL Niki,MARTINEL,Martinel,Niki,M,UDINE,,01/INFO-01,INFO-01/A,INF/01,01/B1,"Scienze Matematiche, Informatiche e Fisiche",,,https://openalex.org/A5005142628,Niki Martinel,0000-0002-6962-8643,25.0,50.0,108.0,2464.0,University of Udine
Ordinario,MARTINI Barbara,MARTINI Barbara,MARTINI,Martini,Barbara,F,"Univ. Telematica ""Universitas MERCATORUM""",Scienze tecnologiche e dell'innovazione,01/INFO-01,INFO-01/A,INF/01,01/B1,INGEGNERIA E SCIENZE,,,https://openalex.org/A5083072051,Barbara Martini,0000-0002-0413-591X,23.0,57.0,148.0,1715.0,Mercatorum University
